Size,Time(ns),Iterations
1725,949200,17904
2348,803200,25461
770,156500,7136
2935,675700,32698
6311,1248900,77396
4636,1196200,54668
160,31000,1126
2193,633300,23488
2447,433300,26616
3575,890800,40895
5996,1559900,72991
3000,578700,33573
1703,292300,17675
7310,1832700,91152
3839,550100,44323
491,65100,4216
6296,1079200,77139
3900,625700,45029
6041,1273200,73780
9010,1582600,114755
2018,324000,21296
7610,1414200,95330
9845,1823900,126929
1587,243800,16306
4643,803000,54824
1409,195100,14224
1160,332900,11427
3543,605000,40445
6922,1122100,85791
3967,486400,45883
7070,1176500,87807
7434,980500,92849
5072,584400,60584
675,61100,6121
4272,650700,49860
4612,741900,54391
1442,198900,14603
2003,284600,21182
6870,1137500,85045
942,123900,8902
3764,558400,43251
9347,1611000,119710
774,90000,7160
7619,931400,95471
8348,1268300,105668
7322,1091600,91301
536,60500,4631
9316,1426900,119236
5119,728700,61260
5587,796700,67562
8153,1243800,102690
434,48000,3674
6654,1002000,82150
580,65000,5089
3731,537000,42808
794,89700,7371
8859,1381600,112834
1170,161000,11479
2353,327300,25420
7993,1310100,100637
3176,430300,35812
753,87100,6938
4700,676300,55506
7571,1181100,94692
5404,790400,65082
757,106200,6967
7954,1169100,100043
1161,140000,11400
5187,706100,62191
8379,1239900,105979
9586,2004100,123166
5256,751100,63062
821,98000,7678
5646,807300,68448
2729,380800,30229
7083,1099400,88063
6560,995800,80732
3946,559400,45653
7025,1044800,87239
727,84300,6652
4959,717000,59041
8300,1193800,104790
4112,602400,47737
7450,1247100,93070
1655,220200,17127
8767,1351700,111481
9691,1483200,124763
9251,1403100,118473
5979,676300,72923
8531,1462500,108109
1739,199300,18055
3518,508700,40200
5105,742900,61014
4132,571900,48008
5269,764400,63177
3450,487600,39287
8910,1376500,113539
1517,207700,15508
6137,1084900,75026
8303,1251000,105001
